Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,10,0.4642,20.89,12.03,0.3947,0.00122514,"YCL011C YDR138W YHR167W YML062C YNL139C YDL084W YNL004W YNL253W YNL140C YOR191W"
2,9,0.7250,26.10,36.13,0.3253,0.0665599,"YEL056W YPL001W YBR060C YHR118C YLL004W YML065W YPR162C YNL261W YJR154W"
3,7,0.4162,8.740,49.47,0.1210,0.124032,"YCR009C YDR388W YBR108W YPL249C YDR243C YMR192W YLR218C"
4,4,0.4600,2.760,4.060,0.1862,0.232562,"YBR017C YGL122C YOR374W YLR426W"
5,6,0.4093,6.140,84.91,0.05958,0.531907,"YGL106W YLR429W YBL079W YML011C YPL218W YNL073W"
6,2,0.9500,0.9500,3.850,0.1080,0.979387,"YOL144W YLR221C"
7,5,0.4580,4.580,46.64,0.07481,0.735190,"YCR028C-A YNR051C YLR226W YPR161C YCL054W"
8,7,0.4390,9.220,44.33,0.1365,0.374564,"YMR186W YPL240C YFR048W YGR123C YJR121W YLR216C YOR027W"
9,5,0.4600,4.600,8.110,0.2026,0.264810,"YMR044W YBR245C YFR013W YLR095C YOL017W"
10,11,0.4056,22.31,60.25,0.2134,0.105436,"YML069W YGL207W YOL006C YBR279W YGL244W YLR418C YOL145C YOR123C YMR041C YLR430W YPL084W"
11,30,0.4339,188.7,76.95,0.5795,1.11705e-07,"YDL147W YDL007W YDR363W-A YDR394W YER021W YFR004W YFR010W YFR052W YGL048C YHR027C YHR200W YIL075C YKL145W YOR117W YOR259C YOR261C YDL036C YDL097C YAL042W YDR427W YGL095C YGR232W YLR421C YPR108W YBL054W YBR080C YCR014C YMR191W YIR012W YOR209C"
12,4,0.4950,2.970,28.74,0.07479,0.144070,"YKR048C YBR267W YCL024W YMR110C"
13,4,0.4683,2.810,5.750,0.1697,0.442617,"YBR187W YPL217C YPR112C YOL010W"
14,4,0.4850,2.910,30.27,0.07067,0.766087,"YBL024W YIL070C YER023W YKL151C"
15,4,0.4050,2.430,24.72,0.06913,0.984809,"YHR121W YDL053C YER147C YDR207C"
16,9,0.4389,15.80,45.08,0.2003,0.604670,"YIL035C YOR061W YCL031C YER164W YGL019W YOR039W YBR088C YKL160W YMR172W"
17,6,0.5113,7.670,36.63,0.1362,0.764415,"YBL002W YGL241W YOL012C YDR224C YER091C YLR133W"
18,8,0.4304,12.05,45.01,0.1649,0.603552,"YPL004C YGR086C YKL142W YDR490C YMR031C YMR086W YFR019W YNL067W"
19,10,0.4236,19.06,73.36,0.1695,0.574947,"YOR294W YDR060W YKR081C YMR229C YOR206W YNL061W YKR024C YLR002C YPL211W YDL168W"
20,6,0.4260,6.390,24.67,0.1484,0.885117,"YHR064C YGR285C YDR234W YDR457W YLR262C YER136W"
21,2,0.9700,0.9700,0.9800,0.1630,0.658454,"YBL103C YOL067C"
