Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,26,0.6154,200.0,1015,0.1579,0.838793,"YNL248C YPR110C YIR010W YOR210W YOR224C YJL148W YNL113W YPR010C YPR190C YOR340C YOR341W YBR154C YOR116C YJL011C YPR187W YDR045C YDL150W YKR025W YJR063W YKL144C YOR207C YNL151C YDR156W YNR003C YOR202W YER004W"
2,10,0.6000,27.00,661.0,0.03814,0.999587,"YJL005W YPR152C YOL139C YBR194W YMR246W YGR162W YNL138W YER029C YGL049C YML017W"
3,48,0.5754,649.0,1331,0.3126,0.0834867,"YNL132W YOR078W YGR128C YER082C YLR197W YPL012W YJL109C YCL059C YLR129W YOR310C YBR247C YKR060W YDL148C YDR449C YDR324C YEL055C YMR128W YPL217C YHR196W YJR002W YLL011W YJL010C YCR057C YMR093W YHR148W YBL004W YNL075W YIL019W YGR145W YGR090W YPL266W YNR054C YLR222C YPR137W YJL069C YDR398W YER127W YDR299W YOR145C YPL126W YPR112C YPR144C YLR186W YOL010W YGL171W YLR409C YKL099C YLR051C"
4,28,0.6190,234.0,875.0,0.2009,0.990092,"YOR210W YOL005C YOR224C YDL140C YGR116W YLR071C YHR143W-A YPL129W YIL021W YER022W YPL203W YJL168C YPR133C YBR154C YER139C YOR151C YGR104C YJL140W YGR005C YDR404C YGR063C YGL070C YPR187W YGL043W YDL115C YPR093C YGR186W YBR236C"
5,87,0.6028,2255,3154,0.4039,3.02431e-07,"YLR448W YNL096C YLR075W YGL103W YHR203C YNL132W YNL301C YOR096W YDR412W YBL072C YBL027W YGR034W YGL135W YBR191W YFR031C-A YIL133C YBR048W YJL177W YBR031W YKL180W YDR012W YMR194W YGL076C YNL178W YIL069C YER074W YCR031C YLR340W YGL030W YER102W YJL190C YLR029C YLL045C YDL136W YML063W YNL124W YGL123W YDR064W YDR418W YFR032C-A YLR367W YBR181C YGL246C YDR130C YJR145C YHL033C YOL127W YDR025W YDL082W YJR123W YDR447C YHL001W YML073C YNL069C YMR242C YOL120C YDL075W YGL147C YGL014W YGR085C YDR091C YBR189W YPL198W YGL031C YLR441C YMR142C YLR287C-A YOR063W YHR141C YDR450W YDR471W YPL143W YOL040C YIL018W YOR234C YDL083C YPL220W YNL302C YOR312C YHL015W YBL092W YPR189W YDR382W YGR118W YPL249C-A YPL090C YJL191W"
6,62,0.5579,1055,2409,0.2940,0.556642,"YNL110C YNR053C YKL172W YDR412W YPR143W YHR085W YLR009W YNL061W YCR072C YPR016C YMR290C YLR002C YER006W YDL031W YFL002C YPL131W YBR142W YDR060W YOR206W YKR081C YNL182C YER126C YPL211W YHR052W YLL045C YGR103W YHR066W YKL021C YDR101C YLL008W YPL093W YNL175C YOL127W YHR010W YKL009W YMR049C YDL168W YLL034C YDR087C YHR197W YLR449W YCL054W YKL014C YPL198W YOR267C YPL043W YER002W YOR063W YOL077C YHR088W YLR276C YGL029W YNL002C YFR001W YLR074C YDR496C YLR106C YGL111W YOR272W YPL009C YGR245C YBL028C"
7,5,0.6000,6.000,157.0,0.03468,0.769012,"YNL130C YBR106W YER039C YNL336W YJR124C"
8,8,0.6071,17.00,311.0,0.04942,0.584795,"YNL031C YBR010W YNL030W YLL002W YER169W YOR025W YER051W YKL005C"
9,5,0.6000,6.000,143.0,0.03774,0.769012,"YFL039C YLR319C YOR304C-A YDL178W YGL015C"
10,5,0.6000,6.000,45.00,0.09836,0.802669,"YOL090W YMR167W YNL082W YOR033C YOL043C"
11,5,0.6000,6.000,150.0,0.03614,0.978061,"YER165W YGL094C YKL025C YGR178C YIL123W"
12,6,0.6667,10.00,209.0,0.04329,0.887580,"YDR099W YER177W YPR030W YLR177W YNL267W YDR373W"
