Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
1,17,0.3512,47.76,39.62,0.3935,8.68973e-05,"YDR240C YGR013W YLR275W YER029C YGR074W YMR125W YDL087C YPL178W YPR182W YBR119W YML046W YHR086W YDR235W YLR147C YLR298C YKL012W YIL061C"
2,20,0.2598,49.37,40.39,0.3805,4.62489e-05,"YHR165C YER172C YGL128C YLL036C YLR424W YDR416W YLR117C YCR063W YPR101W YHR156C YDL209C YBR065C YJR050W YMR213W YGR278W YPL151C YAL032C YDR364C YER013W YKL095W"
3,14,0.3013,27.42,47.86,0.2655,0.103194,"YER006W YPR016C YER126C YGR103W YPL093W YDR101C YGR245C YLR074C YLR106C YHR085W YNR053C YHR197W YNL182C YCR072C"
4,15,0.3013,31.63,68.51,0.2431,0.796607,"YHR196W YGR090W YJL109C YDR324C YPR144C YCR057C YPR137W YPL126W YER082C YMR093W YGR128C YDR449C YLR003C YLR129W YPR112C"
5,8,0.3034,8.494,46.47,0.1197,0.979716,"YNL284C YBL038W YLR189C YCL014W YOR150W YDR164C YJL005W YPR100W"
6,10,0.3176,14.29,30.36,0.2211,0.311588,"YDL060W YBR247C YOR056C YPL204W YNL207W YOR145C YPL266W YKL143W YGR054W YKR057W"
7,22,0.3005,69.41,86.31,0.3475,7.90706e-07,"YNL284C YBL038W YKR006C YKL167C YKR085C YNL252C YLR189C YCR046C YJL063C YCL014W YDR462W YCR071C YDR237W YDR322W YGR220C YDR296W YLR439W YOR150W YBR122C YDR164C YPR100W YML025C"
8,29,0.2887,117.2,52.99,0.5136,0.00000,"YBL038W YBR282W YDR116C YKR006C YKL167C YMR098C YKR085C YNL252C YCR046C YLR312W-A YNL005C YJL063C YDR462W YCR071C YDR237W YDR322W YGR220C YMR193W YDR296W YLR439W YOR150W YHR147C YPL183W-A YBR122C YDR405W YMR024W YML025C YNL177C YNL185C"
9,8,0.3025,8.470,44.97,0.1220,0.973985,"YHR052W YKR081C YPL093W YGR245C YHR085W YNR053C YHR197W YLR406C"
10,18,0.3005,45.97,64.71,0.3134,0.0298843,"YHR196W YGR090W YJL109C YOR078W YDR324C YPR144C YCR057C YPR137W YPL126W YER082C YHR148W YMR093W YGR128C YJL069C YNL075W YLR222C YDR449C YLR409C"
11,5,0.3026,3.026,15.34,0.1067,0.997459,"YGR170W YMR176W YOL054W YDL070W YFR006W"
12,29,0.2906,118.0,18.02,0.6081,0.00000,"YDR041W YDR337W YNR037C YOR205C YHL004W YKL155C YDR347W YGL129C YDR175C YMR188C YBR146W YGR170W YDR036C YNL137C YNL306W YBR251W YGR215W YBL090W YGR084C YOR158W YPL013C YKL003C YMR158W YJR101W YJR113C YPL118W YNL186W YIL093C YNR036C"
13,8,0.3016,8.444,51.16,0.1117,0.990935,"YBR142W YOR272W YHR052W YOR206W YOL041C YPL043W YDR060W YLR276C"
14,5,0.3060,3.060,28.60,0.07344,0.996692,"YDL148C YCL059C YDL213C YOL010W YPL217C"
15,12,0.3025,19.97,59.55,0.1929,0.943824,"YHR088W YMR290C YOR272W YHR052W YOL077C YOR206W YFL002C YDR496C YNL061W YPL211W YLL034C YDR087C"
16,17,0.3096,42.11,53.91,0.3239,0.00263600,"YHR165C YER172C YGL120C YGL128C YKL173W YLL036C YLR424W YDR416W YLR117C YCR063W YDL209C YBR065C YMR213W YGR278W YPL151C YAL032C YKR022C"
17,21,0.2882,60.52,21.62,0.4875,3.63212e-08,"YGR232W YHR200W YIL075C YDL147W YDL097C YOR259C YHR027C YOR261C YDR427W YER021W YHL030W YLR421C YFR004W YFR052W YPR108W YFR010W YKL145W YDL007W YGL048C YDR394W YOR117W"
18,12,0.3180,20.99,28.58,0.2853,0.0499387,"YGL173C YNL147W YDR378C YER112W YBR055C YBL026W YER146W YCR077C YJL124C YLR438C-A YDL160C YMR268C"
19,20,0.3086,58.64,21.17,0.4894,7.10959e-08,"YDR392W YOL148C YHR099W YLR055C YDR176W YDR448W YGL066W YGL112C YGR252W YBR198C YPL254W YMR223W YCL010C YBR081C YDR145W YDR167W YMR005W YMR236W YML015C YPL011C"
20,7,0.4511,9.472,7.873,0.3022,0.00530167,"YOR244W YFL024C YJL081C YPR023C YEL018W YDR359C YNL107W"
21,23,0.3079,77.90,9.374,0.5845,2.90265e-09,"YNL236W YPR070W YBR193C YLR071C YER022W YNL025C YOL135C YGL151W YOL051W YBR253W YHR041C YDR308C YCR081W YDR443C YGR104C YMR112C YHR058C YGL025C YPL042C YPR168W YNR010W YOR174W YKR095W"
22,16,0.3006,36.07,75.02,0.2521,0.653849,"YHR088W YMR290C YOR272W YHR052W YOL077C YOR206W YFL002C YNL061W YGL111W YNL110C YKR081C YPL043W YGR103W YMR049C YDR060W YLR002C"
23,13,0.3795,29.60,15.65,0.4154,2.03682e-05,"YER094C YGL011C YGR135W YOR362C YPR103W YML092C BLM3 YOL038W YFR050C YMR314W YBL041W YER012W YJL001W"
24,15,0.3911,41.06,16.44,0.4693,7.85393e-06,"YFR037C YHR056C YLR321C YML127W YPR034W YMR091C YMR033W YDR303C YKR008W YGR056W YLR357W YCR052W YIL126W YLR033W YGR275W"
25,4,0.3010,1.806,19.14,0.06240,0.903035,"YCL059C YDR299W YKR060W YDL166C"
26,11,0.3050,16.77,21.36,0.2789,0.0438393,"YPR110C YOR210W YOR224C YBR154C YPR010C YGL156W YPR032W YJR063W YOR340C YNL248C YOR341W"
27,11,0.3277,18.02,19.81,0.3012,0.00237441,"YBR079C YAL035W YOR361C YMR309C YMR146C YPR041W YDR429C YLR192C YNL244C YDR091C YNL096C"
28,14,0.3463,31.51,10.14,0.4524,1.24469e-05,"YOL004W YPL139C YIL084C YNL097C YMR075W YPR023C YCR084C YPL181W YAL013W YDR207C YNL330C YBR095C YMR263W YDL076C"
29,7,0.3233,6.790,9.207,0.2264,0.0147414,"YKL193C YCR073W-A YLR258W YLR028C YER133W YER070W YAR014C"
30,14,0.3012,27.41,50.99,0.2576,0.173115,"YER006W YPR016C YER126C YKR081C YPL093W YNL002C YDR101C YGR245C YLR074C YHR085W YNR053C YHR197W YNL182C YCR072C"
31,13,0.5403,42.15,9.293,0.5443,8.22111e-06,"YGR095C YGR195W YGR158C YCR035C YHR069C YOL021C YOR076C YHR081W YNL232W YDL111C YDR280W YOR001W YOL142W"
32,4,0.3005,1.803,16.03,0.06980,0.992931,"YMR143W YNL132W YGR145W YLR333C"
33,16,0.2797,33.56,19.07,0.3965,2.98657e-05,"YPR187W YBR154C YOR151C YIL021W YGR005C YOL005C YJL140W YGR063C YML010W YDR404C YGR186W YPR093C YGL070C YDL115C YER139C YDL140C"
34,5,0.3069,3.069,13.37,0.1161,0.734565,"YBR245C YFR013W YDR224C YGL133W YOR304W"
35,6,0.3046,4.569,34.93,0.08871,0.998474,"YHR196W YBL004W YJL109C YDL213C YOL010W YPL217C"
36,4,0.3021,1.812,11.41,0.08541,0.992931,"YBR009C YOL054W YDL070W YFR006W"
37,8,0.3108,8.702,52.91,0.1121,0.998062,"YBR247C YDL148C YMR128W YCL059C YPR144C YOL010W YPR137W YPL217C"
38,16,0.3121,37.46,53.02,0.3058,0.0102282,"YHR165C YER172C YDR473C YKL173W YNL147W YDR378C YGR091W YER112W YBR055C YBL026W YDL098C YBR152W YOR308C YPR178W YPR082C YGR075C"
39,7,0.3183,6.684,21.38,0.1589,0.951651,"YPL213W YMR288W YML049C YMR240C YJL203W YNL286W YOR319W"
40,7,0.4442,9.328,4.515,0.3350,0.00630836,"YGL115W YDR028C YDR422C YER027C YGL208W YER129W YDR477W"
41,8,0.3050,8.541,6.876,0.2719,0.0202107,"YGR161C YMR273C YGL190C YAL016W YDL134C YOR014W YML109W YDL188C"
